Month,Indeks Keyakinan Konsumen (IKK)_lag6,Pertumbuhan Outstanding (YoY% atau MoM%)_lag12
2019-03-31,0.0,0.26203324147382656
2019-04-30,-3.0,0.2107977013042708
2019-05-31,4.0,0.13744057152261674
2019-06-30,4.0,0.23950148338303925
2019-07-31,-1.0,0.20671250669289074
2019-08-31,-1.0,0.2681883751489537
2019-09-30,0.0,0.1839520231113332
2019-10-31,3.0,0.15583183822337612
2019-11-30,0.0,0.1917061282285831
2019-12-31,-2.0,0.18947328360915702
2020-01-31,-1.0,0.8976837180121912
2020-02-29,-2.0,0.9894355723512429
2020-03-31,-1.0,0.7405172900911775
2020-04-30,-4.0,0.5180296796122402
2020-05-31,6.0,0.3504662947289051
2020-06-30,2.0,0.042412306841486704
2020-07-31,-4.0,-0.052319016879457
2020-08-31,-4.0,-0.17111644272375598
2020-09-30,-4.0,-0.2641129839280713
2020-10-31,-29.0,-0.30044835155033467
2020-11-30,-7.0,-0.3608839478484705
2020-12-31,6.0,-0.4195219418320489
2021-01-31,2.0,1.3722730931074274
2021-02-28,1.0,1.0558281799274636
2021-03-31,-4.0,0.9000338276425467
2021-04-30,-4.0,0.6724815308339765
2021-05-31,13.0,0.5462750155358111
2021-06-30,5.0,0.4783726773723663
2021-07-31,-12.0,0.36741842667902014
2021-08-31,1.0,0.25272671181524176
2021-09-30,7.0,0.24881113524834397
2021-10-31,9.0,0.18385618865006037
2021-11-30,2.0,0.15740648010613978
2021-12-31,3.0,0.16431585849611177
2022-01-31,-27.0,0.18900691513253653
2022-02-28,-3.0,0.16974929821044304
2022-03-31,19.0,0.28708328321917337
2022-04-30,17.0,0.4990577861579526
2022-05-31,6.0,0.690649040713235
2022-06-30,-1.0,0.9867631277817843
2022-07-31,2.0,1.0281763348900619
2022-08-31,-7.0,1.1509560274579844
2022-09-30,-2.0,1.1617926375376346
2022-10-31,2.0,1.1072328588596392
2022-11-30,16.0,1.0663653427236994
2022-12-31,-1.0,0.9505303748299575
2023-01-31,-5.0,0.9422220361688638
2023-02-28,2.0,1.042637051067329
2023-03-31,-8.0,0.9236033417069621
2023-04-30,3.0,0.876615950615129
2023-05-31,-1.0,0.8470958490888076
2023-06-30,1.0,0.896674002559009
2023-07-31,3.0,0.8883886286369969
2023-08-31,-1.0,0.8097344174302143
2023-09-30,1.0,0.77334890678315
2023-10-31,3.0,0.7679582054610854
2023-11-30,2.0,0.726814666405911
2023-12-31,-1.0,0.7109190072283007
2024-01-31,-3.0,0.6346832696823305
2024-02-29,1.0,0.44618188405370574
2024-03-31,-3.0,0.3931195793342551
2024-04-30,2.0,0.306382885208323
2024-05-31,0.0,0.28111231470475434
2024-06-30,0.0,0.18856198916558875
2024-07-31,1.0,0.22408329480169917
2024-08-31,-2.0,0.12461634455138797
2024-09-30,1.0,0.1427728574732279
2024-10-31,4.0,0.1766461027609818
2024-11-30,-3.0,0.18062736988531333
2024-12-31,-2.0,0.16668940613472552
2025-01-31,0.0,0.18403107367831803
2025-02-28,1.0,0.21978391179070056
2025-03-31,0.0,0.21847613823902326
2025-04-30,-3.0,0.24157651466626487
2025-05-31,5.0,0.2544348826400021
2025-06-30,2.0,0.26730692091436115
2025-07-31,-1.0,0.23967098815344368
2025-08-31,-1.0,0.35615689310985554
2025-09-30,-5.0,0.3373055482683827
2025-10-31,1.0,0.29232746805950693
2025-11-30,-4.0,0.27318825541719477
2025-12-31,0.0,0.2913892638464174
